,open,high,low,close,volume
20180209,9690,10050,9650,9840,149664
20180208,9920,10200,9920,9920,156412
20180207,10300,10300,9830,10000,195657
20180206,9300,10050,9100,9920,219522
20180205,9810,10500,9730,9920,274129
20180202,10050,10200,9850,10000,249445
20180201,10050,10750,9880,10400,495936
20180131,10800,10850,10050,10150,381948
20180130,10250,11250,10200,10900,1121695
20180129,10100,10500,9910,10300,354506
20180126,10150,10300,9930,10000,185102
20180125,10050,10150,9840,10150,303117
20180124,10250,10500,9780,9780,615253
20180123,9500,10500,9470,9930,1122900
20180122,9920,9920,8930,9180,647787
20180119,10050,10150,9670,9950,458302
20180118,10350,10650,9990,10150,692481
20180117,10100,10400,9280,9900,1251367
20180116,12300,12550,10850,11100,3404388
20180115,9990,12450,9960,12300,4799063
20180112,9860,10800,8990,10000,2247690
20180111,11350,11850,8470,9360,3500188
20180110,12900,15150,11400,11500,7480884
20180109,12500,12850,11800,12700,766252
20180108,12100,13200,12100,12600,1616948
20180105,12500,12600,11750,12050,1332829
20180104,12000,13900,11650,12000,5594616
20180103,9810,12500,9720,12000,5019408
20180102,9500,9900,9490,9630,641235
20171228,10600,10600,9260,9500,1831761
20171227,10300,11200,10250,10500,2145240
20171226,10650,10850,9790,10000,1498492
20171222,11800,12600,10400,10650,1743565
20171221,12400,13500,11550,12300,3791157
20171220,10250,12550,10150,11500,4262675
20171219,10700,12950,9750,10500,4542948
20171218,10400,12500,10150,12400,6312288
20171215,9160,9930,9110,9630,3352355
20171214,9220,10200,8850,8910,5062707
20171213,9360,9360,8470,9000,3813503
20171212,8800,9790,8720,9500,5109627
20171211,7610,9290,7460,8700,5051691
20171208,10650,11000,7780,7800,4440536
20171207,9160,10450,8850,10050,9012530
20171206,8270,9790,8160,8730,8316466
20171205,7370,8900,7350,8040,5255403
20171204,7230,8810,7100,7550,5944445
20171201,7390,7480,7050,7170,1595090
20171130,5960,7810,5960,7810,8387657
20171129,5810,6100,5810,6010,280244
20171128,5850,5990,5840,5840,156778
20171127,5950,6080,5780,5900,241572
20171124,5840,6050,5840,5930,195833
20171123,5770,5870,5730,5830,117820
20171122,5760,5960,5700,5760,225098
20171121,5600,5900,5550,5760,471739
20171120,5540,5670,5540,5580,184016
20171117,5650,5660,5500,5570,379137
20171116,5630,5790,5520,5690,456382
20171115,6440,6440,5630,5630,1814066
20171114,6370,6430,6280,6420,63942
20171113,6640,6640,6150,6370,114467
20171110,6760,6760,6630,6650,74632
20171109,6610,6730,6590,6700,96322
20171108,6450,6630,6450,6590,116345
20171107,6440,6530,6320,6440,114017
20171106,6510,6540,6300,6440,154920
20171103,6630,6630,6480,6490,60060
20171102,6510,6750,6490,6510,234175
20171101,6700,6700,6450,6490,193647
20171031,6200,6810,6140,6650,1118964
20171030,7400,7510,7200,7400,180636
20171027,7180,7410,7100,7400,180195
20171026,6920,7180,6870,7180,197465
20171025,6870,6980,6790,6880,79952
20171024,6830,6940,6780,6860,33531
20171023,6800,7050,6780,6890,54646
20171020,6870,6910,6770,6820,37886
20171019,6860,6890,6700,6870,29686
20171018,6920,7040,6770,6800,79318
20171017,6960,7060,6920,6950,35489
20171016,7000,7080,6900,6960,53332
20171013,7160,7270,6960,7040,128273
20171012,7470,7470,7150,7220,150186
20171011,7230,7370,7210,7370,86874
20171010,7170,7460,7110,7200,259617
20170929,7040,7180,6980,7080,80586
20170928,7030,7120,6930,7020,46053
20170927,6930,7170,6930,7020,98793
20170926,7050,7270,6830,6940,97402
20170925,6900,7250,6810,7160,175722
20170922,7020,7350,6880,6950,173211
